지역,구시군,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,합계,2018,광역단체장,진보정당,보수정당,1,0.5279,2,0.2335,1,1,7,0,8380947,5019098,1158487,2619497,1183888,0,4961872,57226,3361849
서울,종로구,2018,광역단체장,진보정당,보수정당,1,0.5138,2,0.2344,1,1,7,0,134963,81195,18777,41148,20166,0,80091,1104,53768
서울,중구,2018,광역단체장,진보정당,보수정당,1,0.5229,2,0.2385,1,1,7,0,112336,66474,15618,34243,15630,0,65491,983,45862
서울,용산구,2018,광역단체장,진보정당,보수정당,1,0.4706,2,0.271,1,1,7,0,200009,116054,31073,53964,29625,0,114662,1392,83955
서울,성동구,2018,광역단체장,진보정당,보수정당,1,0.5396,2,0.2238,1,1,7,0,264634,157863,34878,84106,36882,0,155866,1997,106771
서울,광진구,2018,광역단체장,진보정당,보수정당,1,0.5571,2,0.2164,1,1,7,0,308174,180373,38606,99366,40396,0,178368,2005,127801
서울,동대문구,2018,광역단체장,진보정당,보수정당,1,0.5344,2,0.2332,1,1,7,0,302939,178077,40984,93913,40826,0,175723,2354,124862
서울,중랑구,2018,광역단체장,진보정당,보수정당,1,0.5571,2,0.234,1,1,7,0,352041,198943,45905,109318,40987,0,196210,2733,153098
서울,성북구,2018,광역단체장,진보정당,보수정당,1,0.5462,2,0.2154,1,1,7,0,373174,222184,47274,119898,52329,0,219501,2683,150990
서울,강북구,2018,광역단체장,진보정당,보수정당,1,0.5575,2,0.2178,1,1,7,0,280860,156279,33537,85839,34605,0,153981,2298,124581
서울,도봉구,2018,광역단체장,진보정당,보수정당,1,0.5371,2,0.2278,1,1,7,0,292696,173751,39099,92172,40338,0,171609,2142,118945
서울,노원구,2018,광역단체장,진보정당,그외정당,1,0.5389,3,0.2225,1,1,7,0,456370,283039,54461,150657,74460,0,279578,3461,173331
서울,은평구,2018,광역단체장,진보정당,보수정당,1,0.5578,2,0.2085,1,1,7,0,413112,238193,49071,131287,55013,0,235371,2822,174919
서울,서대문구,2018,광역단체장,진보정당,보수정당,1,0.5406,2,0.2133,1,1,7,0,269182,163969,34514,87486,39842,0,161842,2127,105213
서울,마포구,2018,광역단체장,진보정당,보수정당,1,0.5426,2,0.2061,1,1,7,0,320091,197264,40249,105956,49056,0,195261,2003,122827
서울,양천구,2018,광역단체장,진보정당,보수정당,1,0.5318,2,0.2278,1,1,7,0,383104,238559,53780,125557,56754,0,236091,2468,144545
서울,강서구,2018,광역단체장,진보정당,보수정당,1,0.5617,2,0.2153,1,1,7,0,509021,303651,64676,168733,67000,0,300409,3242,205370
서울,구로구,2018,광역단체장,진보정당,보수정당,1,0.5451,2,0.2346,1,1,7,0,351457,211169,48981,113799,45983,0,208763,2406,140288
서울,금천구,2018,광역단체장,진보정당,보수정당,1,0.5606,2,0.2181,1,1,7,0,206762,116953,25156,64662,25517,0,115335,1618,89809
서울,영등포구,2018,광역단체장,진보정당,보수정당,1,0.5211,2,0.241,1,1,7,0,325036,195840,46666,100899,46078,0,193643,2197,129196
서울,동작구,2018,광역단체장,진보정당,보수정당,1,0.5431,2,0.2185,1,1,7,0,340489,213232,46094,114563,50275,0,210932,2300,127257
서울,관악구,2018,광역단체장,진보정당,그외정당,1,0.5802,3,0.1879,1,1,7,0,449742,265465,47686,152069,62339,0,262094,3371,184277
서울,서초구,2018,광역단체장,진보정당,보수정당,1,0.4287,2,0.3107,1,1,7,0,359734,226905,69910,96452,58650,0,225012,1893,132829
서울,강남구,2018,광역단체장,진보정당,보수정당,1,0.4082,2,0.3308,1,1,7,0,454862,266153,87305,107743,68890,0,263938,2215,188709
서울,송파구,2018,광역단체장,진보정당,보수정당,1,0.4962,2,0.2607,1,1,7,0,554983,348956,90144,171592,84083,0,345819,3137,206027
서울,강동구,2018,광역단체장,진보정당,보수정당,1,0.5274,2,0.2499,1,1,7,0,365176,218557,54043,114075,48164,0,216282,2275,146619
부산,합계,2018,광역단체장,진보정당,보수정당,1,0.5523,2,0.3716,1,1,2,1,2939046,1727684,632806,940469,102801,26720,1702796,24888,1211362
부산,중구,2018,광역단체장,진보정당,보수정당,1,0.5307,2,0.4069,1,1,2,1,39832,22499,8993,11730,1080,300,22103,396,17333
부산,서구,2018,광역단체장,진보정당,보수정당,1,0.5137,2,0.4187,1,1,2,1,97123,55377,22760,27919,2761,913,54353,1024,41746
부산,동구,2018,광역단체장,진보정당,보수정당,1,0.518,2,0.4157,1,1,2,1,79091,46288,18841,23476,2313,691,45321,967,32803
부산,영도구,2018,광역단체장,진보정당,보수정당,1,0.5684,2,0.3677,1,1,2,1,107930,61332,22179,34279,2973,879,60310,1022,46598
부산,부산진구,2018,광역단체장,진보정당,보수정당,1,0.5422,2,0.3715,1,1,2,1,319402,184063,67354,98314,12017,3626,181311,2752,135339
부산,동래구,2018,광역단체장,진보정당,보수정당,1,0.5445,2,0.3744,1,1,2,1,226713,135595,50115,72895,8893,1963,133866,1729,91118
